genesymbol,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig,name
MDH3,0.217,4.03E-05,0.102,0.038943,-0.08,0.16505,YDL078C
POT1,1.044,1.07E-06,0.674,3.10E-08,0.92,6.08E-07,YIL160C
RFA1,0.2,0.0081844,-0.007,0.91522,-0.302,0.0060792,YAR007C
YKL161C,-0.198,7.58E-04,-0.319,0.022048,0.202,0.18731,YKL161C
RPL10,-0.169,1.73E-04,-0.2,4.29E-04,-0.002,0.9794,YLR075W
RPL11A,-0.177,3.72E-04,-0.38,1.74E-06,-0.058,0.26052,YPR102C
HSP82,0.222,1.86E-05,-0.201,0.0024157,-0.661,6.77E-11,YPL240C
YHR198C,-0.053,0.20226,0.401,1.93E-07,-0.379,5.43E-08,YHR198C
ECI1,0.195,0.0052304,-0.148,0.21531,0.716,3.92E-04,YLR284C
HOM3,-0.47,4.76E-09,-1.321,1.96E-09,0.579,1.37E-05,YER052C
FPR1,-0.071,0.047943,0.08,0.068027,-0.169,0.0016167,YNL135C
CTR1,0.76,8.42E-11,0.469,2.42E-08,-0.462,8.38E-06,YPR124W
CUP1A,-0.656,1.67E-04,-0.75,8.46E-04,0.795,1.52E-10,YHR053C
CUP1B,-0.867,2.88E-06,-0.416,0.026753,0.802,1.97E-12,YHR055C
PCL10,0.138,0.0020577,-0.548,3.70E-07,0.839,3.76E-07,YGL134W
GSY2,-0.405,4.42E-09,0.4,1.83E-06,-0.487,5.87E-12,YLR258W
CDC6,0.018,0.83635,-0.661,4.50E-05,0.525,0.050004,YJL194W
LSM2,-0.032,0.48423,-0.158,0.019199,-0.064,0.59933,YBL026W
SEC17,-0.066,0.11213,-0.044,0.48722,0.106,0.23706,YBL050W
STE12,-0.109,0.014623,-0.541,6.61E-06,0.057,0.65365,YHR084W
CHK1,-0.045,0.35655,0.135,0.0049782,-0.052,0.55148,YBR274W
GFD1,0.211,2.21E-04,-0.159,0.11742,0.397,0.0029074,YMR255W
SST2,-0.507,2.43E-07,-0.393,6.70E-06,-0.269,0.014595,YLR452C
GPA1,-0.02,0.64417,-0.413,5.03E-05,0.33,0.0031233,YHR005C
BFR2,0.518,1.61E-07,-0.287,0.20033,0.883,1.02E-04,YDR299W
SER33,-0.444,4.94E-09,-0.565,2.66E-05,0.393,0.022682,YIL074C
GCY1,0.194,9.03E-05,-0.349,1.83E-05,0.576,6.39E-09,YOR120W
TIF5,-0.059,0.11203,-0.243,0.0061997,-0.177,0.011738,YPR041W
