"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"2540.66666667","pd","YKL109W (pd) YGL035C","false","pd","YKL109W (pd) YGL035C"
"487.0","pd","YMR043W (pd) YIL015W","false","pd","YMR043W (pd) YIL015W"
"988.0","pd","YMR043W (pd) YJL159W","false","pd","YMR043W (pd) YJL159W"
"3136.17527473","pd","YMR043W (pd) YKR097W","false","pd","YMR043W (pd) YKR097W"
"4058.08455433","pd","YMR043W (pd) YGR108W","false","pd","YMR043W (pd) YGR108W"
"484.33333333","pd","YMR043W (pd) YDR461W","false","pd","YMR043W (pd) YDR461W"
"484.33333333","pd","YMR043W (pd) YNL145W","false","pd","YMR043W (pd) YNL145W"
"9243.86127206","pd","YMR043W (pd) YJL157C","false","pd","YMR043W (pd) YJL157C"
"484.33333333","pd","YMR043W (pd) YFL026W","false","pd","YMR043W (pd) YFL026W"
"3656.08455433","pp","YGR108W (pp) YBR135W","false","pp","YGR108W (pp) YBR135W"
"9.83333333","pd","YNL145W (pd) YCL067C","false","pd","YNL145W (pd) YCL067C"
"4.83333333","pd","YNL145W (pd) YHR084W","false","pd","YNL145W (pd) YHR084W"
"115.0","pp","YJL157C (pp) YAL040C","false","pp","YJL157C (pp) YAL040C"
"8680.0041292","pp","YJL157C (pp) YOR212W","false","pp","YJL157C (pp) YOR212W"
"496.0","pp","YJL203W (pp) YOL136C","false","pp","YJL203W (pp) YOL136C"
"1026.26739927","pp","YLL021W (pp) YLR362W","false","pp","YLL021W (pp) YLR362W"
"249.0","pd","YOL156W (pd) YBL005W","false","pd","YOL156W (pd) YBL005W"
"496.0","pp","YKL101W (pp) YBR160W","false","pp","YKL101W (pp) YBR160W"
"940.0","pd","YBR160W (pd) YMR043W","false","pd","YBR160W (pd) YMR043W"
"48.0","pp","YBR160W (pp) YGR108W","false","pp","YBR160W (pp) YGR108W"
"249.0","pd","YBL005W (pd) YJL219W","false","pd","YBL005W (pd) YJL219W"
"988.0","pp","YDR323C (pp) YOR036W","false","pp","YDR323C (pp) YOR036W"
"494.0","pp","YOR036W (pp) YDR100W","false","pp","YOR036W (pp) YDR100W"
"494.0","pp","YOR036W (pp) YGL161C","false","pp","YOR036W (pp) YGL161C"
"988.0","pd","YGL008C (pd) YMR043W","false","pd","YGL008C (pd) YMR043W"
"496.0","pd","YER040W (pd) YPR035W","false","pd","YER040W (pd) YPR035W"
"496.0","pd","YER040W (pd) YGR019W","false","pd","YER040W (pd) YGR019W"
"496.0","pp","YNL098C (pp) YLR310C","false","pp","YNL098C (pp) YLR310C"
"988.0","pp","YLR310C (pp) YER103W","false","pp","YLR310C (pp) YER103W"
"4.0","pp","YGL115W (pp) YGL208W","false","pp","YGL115W (pp) YGL208W"
"988.0","pp","YPL089C (pp) YHR030C","false","pp","YPL089C (pp) YHR030C"
"1104.11355311","pp","YHR030C (pp) YLL021W","false","pp","YHR030C (pp) YLL021W"
"2101.73260073","pp","YHR030C (pp) YER111C","false","pp","YHR030C (pp) YER111C"
"2882.71025641","pd","YJL089W (pd) YER065C","false","pd","YJL089W (pd) YER065C"
"2924.57527473","pd","YJL089W (pd) YKR097W","false","pd","YJL089W (pd) YKR097W"
"1271.90164835","pd","YJL089W (pd) YLR377C","false","pd","YJL089W (pd) YLR377C"
"4.0","pd","YMR021C (pd) YLR214W","false","pd","YMR021C (pd) YLR214W"
"3733.28291708","pp","YDR335W (pp) YDR174W","false","pp","YDR335W (pp) YDR174W"
"496.0","pp","YLL028W (pp) YGL166W","false","pp","YLL028W (pp) YGL166W"
"495.0","pd","YGL166W (pd) YHR053C","false","pd","YGL166W (pd) YHR053C"
"495.0","pd","YGL166W (pd) YHR055C","false","pd","YGL166W (pd) YHR055C"
"2.0","pp","YDL081C (pp) YLR340W","false","pp","YDL081C (pp) YLR340W"
"2916.0","pp","YKL074C (pp) YGL035C","false","pp","YKL074C (pp) YGL035C"
"496.0","pp","YML064C (pp) YHR198C","false","pp","YML064C (pp) YHR198C"
"496.0","pp","YML064C (pp) YLR284C","false","pp","YML064C (pp) YLR284C"
"3145.71148851","pp","YML064C (pp) YDR174W","false","pp","YML064C (pp) YDR174W"
"8.0","pp","YHR135C (pp) YNL116W","false","pp","YHR135C (pp) YNL116W"
"2031.91544567","pp","YNL047C (pp) YIL105C","false","pp","YNL047C (pp) YIL105C"
"8.0","pp","YNL154C (pp) YKL204W","false","pp","YNL154C (pp) YKL204W"
"496.0","pp","YJR066W (pp) YLR116W","false","pp","YJR066W (pp) YLR116W"
"8.0","pp","YDR382W (pp) YDL130W","false","pp","YDR382W (pp) YDL130W"
"12.0","pp","YDR382W (pp) YFL039C","false","pp","YDR382W (pp) YFL039C"
"8.0","pp","YFL039C (pp) YCL040W","false","pp","YFL039C (pp) YCL040W"
"8.0","pp","YFL039C (pp) YHR179W","false","pp","YFL039C (pp) YHR179W"
"2034.76542347","pd","YPL075W (pd) YCR012W","false","pd","YPL075W (pd) YCR012W"
"1846.76542347","pd","YPL075W (pd) YGR254W","false","pd","YPL075W (pd) YGR254W"
"1846.76542347","pd","YPL075W (pd) YHR174W","false","pd","YPL075W (pd) YHR174W"
"11094.32880453","pp","YPL075W (pp) YNL199C","false","pp","YPL075W (pp) YNL199C"
"1846.76542347","pd","YPL075W (pd) YDR050C","false","pd","YPL075W (pd) YDR050C"
"1846.76542347","pd","YPL075W (pd) YOL086C","false","pd","YPL075W (pd) YOL086C"
"3624.18315018","pp","YNL199C (pp) YPR048W","false","pp","YNL199C (pp) YPR048W"
